"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"1648.102.112","0","0","1","1","1","0","0","20200417","20200417"
"1648.102.120","0","1","1","1","1","0","0","20200417","20200417"
"1648.102.16","0","0","1","0","0","0","0","20200417","20200417"
"1648.102.32","0","0","0","1","0","0","0","20200417","20200417"
"1648.102.48","0","0","1","1","0","0","0","20200417","20200417"
"1648.102.64","0","0","0","0","1","0","0","20200417","20200417"
"1648.102.8","0","1","0","0","0","0","0","20200417","20200417"
"1648.102.80","0","0","1","0","1","0","0","20200417","20200417"
"1648.102.96","0","0","0","1","1","0","0","20200417","20200417"
"984.125.128","0","0","0","0","0","1","0","20200418","20200419"
"984.125.130","0","0","0","0","0","1","1","20200418","20200419"
"984.125.2","0","0","0","0","0","0","1","20200418","20200419"
"1364.116.100","1","0","0","1","1","0","0","20200420","20200424"
"1364.116.104","0","1","0","1","1","0","0","20200420","20200424"
"1364.116.108","1","1","0","1","1","0","0","20200420","20200424"
"1364.116.112","0","0","1","1","1","0","0","20200420","20200424"
"1364.116.116","1","0","1","1","1","0","0","20200420","20200424"
"1364.116.12","1","1","0","0","0","0","0","20200420","20200424"
"1364.116.120","0","1","1","1","1","0","0","20200420","20200424"
"1364.116.124","1","1","1","1","1","0","0","20200420","20200424"
"1364.116.16","0","0","1","0","0","0","0","20200420","20200424"
"1364.116.20","1","0","1","0","0","0","0","20200420","20200424"
"1364.116.24","0","1","1","0","0","0","0","20200420","20200424"
"1364.116.28","1","1","1","0","0","0","0","20200420","20200424"
"1364.116.32","0","0","0","1","0","0","0","20200420","20200424"
"1364.116.36","1","0","0","1","0","0","0","20200420","20200424"
"1364.116.4","1","0","0","0","0","0","0","20200420","20200424"
"1364.116.40","0","1","0","1","0","0","0","20200420","20200424"
"1364.116.44","1","1","0","1","0","0","0","20200420","20200424"
"1364.116.48","0","0","1","1","0","0","0","20200420","20200424"
"1364.116.52","1","0","1","1","0","0","0","20200420","20200424"
"1364.116.56","0","1","1","1","0","0","0","20200420","20200424"
"1364.116.60","1","1","1","1","0","0","0","20200420","20200424"
"1364.116.64","0","0","0","0","1","0","0","20200420","20200424"
"1364.116.68","1","0","0","0","1","0","0","20200420","20200424"
"1364.116.72","0","1","0","0","1","0","0","20200420","20200424"
"1364.116.76","1","1","0","0","1","0","0","20200420","20200424"
"1364.116.8","0","1","0","0","0","0","0","20200420","20200424"
"1364.116.80","0","0","1","0","1","0","0","20200420","20200424"
"1364.116.84","1","0","1","0","1","0","0","20200420","20200424"
"1364.116.88","0","1","1","0","1","0","0","20200420","20200424"
"1364.116.92","1","1","1","0","1","0","0","20200420","20200424"
"1364.116.96","0","0","0","1","1","0","0","20200420","20200424"
"1365.112.128","0","0","0","0","0","1","0","20200425","20200426"
"1365.112.130","0","0","0","0","0","1","1","20200425","20200426"
"1365.112.2","0","0","0","0","0","0","1","20200425","20200426"
"746.106.100","1","0","0","1","1","0","0","20200427","20200501"
"746.106.104","0","1","0","1","1","0","0","20200427","20200501"
"746.106.108","1","1","0","1","1","0","0","20200427","20200501"
"746.106.112","0","0","1","1","1","0","0","20200427","20200501"
"746.106.116","1","0","1","1","1","0","0","20200427","20200501"
"746.106.12","1","1","0","0","0","0","0","20200427","20200501"
"746.106.120","0","1","1","1","1","0","0","20200427","20200501"
"746.106.124","1","1","1","1","1","0","0","20200427","20200501"
"746.106.16","0","0","1","0","0","0","0","20200427","20200501"
"746.106.20","1","0","1","0","0","0","0","20200427","20200501"
"746.106.24","0","1","1","0","0","0","0","20200427","20200501"
"746.106.28","1","1","1","0","0","0","0","20200427","20200501"
"746.106.32","0","0","0","1","0","0","0","20200427","20200501"
"746.106.36","1","0","0","1","0","0","0","20200427","20200501"
"746.106.4","1","0","0","0","0","0","0","20200427","20200501"
"746.106.40","0","1","0","1","0","0","0","20200427","20200501"
"746.106.44","1","1","0","1","0","0","0","20200427","20200501"
"746.106.48","0","0","1","1","0","0","0","20200427","20200501"
"746.106.52","1","0","1","1","0","0","0","20200427","20200501"
"746.106.56","0","1","1","1","0","0","0","20200427","20200501"
"746.106.60","1","1","1","1","0","0","0","20200427","20200501"
"746.106.64","0","0","0","0","1","0","0","20200427","20200501"
"746.106.68","1","0","0","0","1","0","0","20200427","20200501"
"746.106.72","0","1","0","0","1","0","0","20200427","20200501"
"746.106.76","1","1","0","0","1","0","0","20200427","20200501"
"746.106.8","0","1","0","0","0","0","0","20200427","20200501"
"746.106.80","0","0","1","0","1","0","0","20200427","20200501"
"746.106.84","1","0","1","0","1","0","0","20200427","20200501"
"746.106.88","0","1","1","0","1","0","0","20200427","20200501"
"746.106.92","1","1","1","0","1","0","0","20200427","20200501"
"746.106.96","0","0","0","1","1","0","0","20200427","20200501"
"1495.102.104","0","1","0","1","1","0","0","20200502","20200516"
"1495.102.108","1","1","0","1","1","0","0","20200502","20200516"
"1495.102.112","0","0","1","1","1","0","0","20200502","20200516"
"1495.102.12","1","1","0","0","0","0","0","20200502","20200516"
"1495.102.120","0","1","1","1","1","0","0","20200502","20200516"
"1495.102.124","1","1","1","1","1","0","0","20200502","20200516"
"1495.102.128","0","0","0","0","0","1","0","20200502","20200516"
"1495.102.130","0","0","0","0","0","1","1","20200502","20200516"
"1495.102.16","0","0","1","0","0","0","0","20200502","20200516"
"1495.102.2","0","0","0","0","0","0","1","20200502","20200516"
"1495.102.32","0","0","0","1","0","0","0","20200502","20200516"
"1495.102.36","1","0","0","1","0","0","0","20200502","20200516"
"1495.102.4","1","0","0","0","0","0","0","20200502","20200516"
"1495.102.40","0","1","0","1","0","0","0","20200502","20200516"
"1495.102.44","1","1","0","1","0","0","0","20200502","20200516"
"1495.102.48","0","0","1","1","0","0","0","20200502","20200516"
"1495.102.52","1","0","1","1","0","0","0","20200502","20200516"
"1495.102.56","0","1","1","1","0","0","0","20200502","20200516"
"1495.102.60","1","1","1","1","0","0","0","20200502","20200516"
