stop_name,stop_id,line_id,arrival_delay,arrival_time_hour,result
"Central Station, Platform 12",2000332.0,T1,0.0,9.0,0
"Strathfield Station, Platform 3",2135233.0,T1,48.0,9.0,0
"Central Station, Platform 4",2000324.0,T1,0.0,9.0,0
"Epping Station, Platform 3",2121223.0,T1,215.0,8.0,0
"Epping Station, Platform 3",2121223.0,T1,315.0,8.0,0
"Epping Station, Platform 3",2121223.0,T1,351.0,8.0,0
"Epping Station, Platform 3",2121223.0,T1,0.0,8.0,0
"Central Station, Platform 18",2000338.0,T1,0.0,7.0,0
"Central Station, Platform 18",2000338.0,T1,479.0,8.0,1
"Central Station, Platform 18",2000338.0,T1,0.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,378.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,461.0,10.0,1
"Central Station, Platform 18",2000338.0,T1,311.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,373.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,291.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,0.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,297.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,98.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,309.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,9.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,261.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,38.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,256.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,51.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,97.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,89.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,71.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,1.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,25.0,10.0,0
"Central Station, Platform 18",2000338.0,T1,0.0,9.0,0
"Central Station, Platform 18",2000338.0,T1,13.0,9.0,0
"Central Station, Platform 18",2000338.0,T1,323.0,9.0,0
"Central Station, Platform 18",2000338.0,T1,376.0,9.0,0
"Central Station, Platform 18",2000338.0,T1,316.0,9.0,0
"Central Station, Platform 18",2000338.0,T1,403.0,9.0,1
"Central Station, Platform 18",2000338.0,T1,353.0,9.0,0
"Central Station, Platform 18",2000338.0,T1,322.0,9.0,0
"Central Station, Platform 18",2000338.0,T1,258.0,9.0,0
"Central Station, Platform 18",2000338.0,T1,123.0,9.0,0
"Central Station, Platform 18",2000338.0,T1,67.0,9.0,0
"Central Station, Platform 18",2000338.0,T1,0.0,9.0,0
"Central Station, Platform 18",2000338.0,T1,0.0,14.0,0
"Redfern Station, Platform 4",2015134.0,T1,0.0,9.0,0
"Redfern Station, Platform 4",2015134.0,T1,0.0,9.0,0
"Redfern Station, Platform 4",2015134.0,T1,0.0,7.0,0
"Redfern Station, Platform 4",2015134.0,T1,521.0,8.0,1
"Redfern Station, Platform 4",2015134.0,T1,80.0,9.0,0
"Redfern Station, Platform 4",2015134.0,T1,0.0,9.0,0
"Redfern Station, Platform 4",2015134.0,T1,0.0,10.0,0
"Redfern Station, Platform 4",2015134.0,T1,348.0,10.0,0
"Redfern Station, Platform 4",2015134.0,T1,431.0,10.0,1
"Redfern Station, Platform 4",2015134.0,T1,281.0,10.0,0
"Redfern Station, Platform 4",2015134.0,T1,343.0,10.0,0
"Redfern Station, Platform 4",2015134.0,T1,261.0,10.0,0
"Redfern Station, Platform 4",2015134.0,T1,0.0,10.0,0
"Redfern Station, Platform 4",2015134.0,T1,267.0,10.0,0
"Redfern Station, Platform 4",2015134.0,T1,68.0,10.0,0
"Redfern Station, Platform 4",2015134.0,T1,279.0,10.0,0
